t,r,b,numberOfHashes,FoC*,f1*,precision*,recall*,Foc,f1,treshHold,precision,recall,bootstrap
1.0,200.0,1.0,200.0,0.0002839711591791459,0.045200000000000004,0.045200000000000004,0.045599999999999995,0.0001785912368275097,0.0776,0.13999999999999999,0.2934,0.09559999999999999,2.0
0.9930924954370359,100.0,2.0,200.0,0.0002839711591791459,0.045200000000000004,0.045200000000000004,0.045599999999999995,0.0001785912368275097,0.0776,0.13999999999999999,0.2934,0.09559999999999999,2.0
0.9837365039399479,67.0,3.0,200.0,0.0002839711591791459,0.045200000000000004,0.045200000000000004,0.045599999999999995,0.0001785912368275097,0.0776,0.13999999999999999,0.2934,0.09559999999999999,2.0
0.9726549474122855,50.0,4.0,200.0,0.00029284525790349415,0.0446,0.044,0.045599999999999995,0.0001785912368275097,0.0776,0.13999999999999999,0.2934,0.09559999999999999,2.0
0.9605627697295936,40.0,5.0,200.0,0.0003083749306711037,0.0434,0.041999999999999996,0.045599999999999995,0.0001785912368275097,0.0776,0.32,0.2934,0.09559999999999999,2.0
0.9427379033034218,33.0,7.0,200.0,0.0003826955074875208,0.0494,0.0444,0.05700000000000001,4.991680532445923e-05,0.09,0.54,0.3154,0.0528,2.0
0.9351013592373913,29.0,7.0,200.0,0.0003671658347199113,0.0466,0.041999999999999996,0.053200000000000004,5.102606766500277e-05,0.09,0.27999999999999997,0.301,0.053200000000000004,2.0
0.920187650624875,25.0,8.0,200.0,0.00043372157515252357,0.0454,0.0382,0.0566,6.32279534109817e-05,0.0914,0.34,0.26880000000000004,0.0602,2.0
0.9006280202112785,22.0,10.0,200.0,0.0006544647809206877,0.0376,0.027600000000000003,0.0602,6.655574043261232e-05,0.0974,0.86,0.2786,0.0602,2.0
0.8912509381337456,20.0,10.0,200.0,0.0006688851913477538,0.039400000000000004,0.028200000000000003,0.0638,7.76483638380477e-05,0.101,0.82,0.2728,0.0638,2.0
0.8640099626503106,17.0,12.0,200.0,0.0009550748752079867,0.040999999999999995,0.027000000000000003,0.0872,0.00014531336661120358,0.11120000000000001,0.6799999999999999,0.1696,0.08299999999999999,2.0
0.8241257452788975,14.0,15.0,200.0,0.0017870216306156406,0.0422,0.024399999999999998,0.146,0.00021186910704381587,0.1426,0.72,0.1976,0.1268,2.0
0.7897008216626797,12.0,17.0,200.0,0.0024093178036605654,0.045,0.0254,0.2042,0.00033388796450360507,0.1512,0.6599999999999999,0.16399999999999998,0.1578,2.0
0.7411344491069477,10.0,20.0,200.0,0.004041042706600111,0.0324,0.017599999999999998,0.23900000000000002,0.0003560732113144759,0.149,0.74,0.1988,0.1724,2.0
0.7058247892088014,9.0,23.0,200.0,0.01272434830837493,0.0182,0.0092,0.3392,0.0003704936217415419,0.1424,0.76,0.1868,0.1654,2.0
0.668740304976422,8.0,25.0,200.0,0.010560177481974487,0.0196,0.0104,0.36340000000000006,0.0006256239600665557,0.13640000000000002,0.7,0.13279999999999997,0.1964,2.0
0.6181387937236277,7.0,29.0,200.0,0.024051026067665005,0.0126,0.0064,0.4888,0.0003250138657792568,0.1368,0.78,0.1976,0.1508,2.0
0.555588840330063,6.0,34.0,200.0,0.04364392678868552,0.008799999999999999,0.004200000000000001,0.6252,0.00033277870216306157,0.1356,0.78,0.19619999999999999,0.1508,2.0
0.4781762498950185,5.0,40.0,200.0,0.08910926234054353,0.0054,0.0026000000000000003,0.7203999999999999,0.0003383250138657793,0.1348,0.78,0.19519999999999998,0.1508,2.0
0.3760603093086394,4.0,50.0,200.0,0.22706156405990016,0.0024000000000000002,0.0014,0.8964000000000001,0.0003383250138657793,0.1348,0.78,0.19519999999999998,0.1508,2.0
0.2462115368990136,3.0,67.0,200.0,0.41136661120354967,0.0016,0.0008,0.9810000000000001,0.0003383250138657793,0.1348,0.78,0.19519999999999998,0.1508,2.0
0.1,2.0,100.0,200.0,0.7983172490293955,0.001,0.0,1.0184000000000002,0.0003383250138657793,0.1348,0.78,0.19519999999999998,0.1508,2.0
0.005,1.0,200.0,200.0,0.9946821963394343,0.001,0.0,1.022,0.0003383250138657793,0.1348,0.78,0.19519999999999998,0.1508,2.0
