iteration,t,r,b,numberOfHashes,FoC*,f1*,precision*,recall*,Foc,f1,treshHold,precision,recall,bootstrap
0,1.0,200,1,200,0.0002995008319467554,0.056,0.058,0.054,6.65557404326123e-05,0.088,0.0,0.25,0.054,0
1,0.9930924954370359,100,2,200,0.0002995008319467554,0.056,0.058,0.054,6.65557404326123e-05,0.088,0.0,0.25,0.054,0
2,0.9837365039399479,67,3,200,0.0002995008319467554,0.056,0.058,0.054,6.65557404326123e-05,0.088,0.0,0.25,0.054,0
3,0.9726549474122855,50,4,200,0.0002995008319467554,0.056,0.058,0.054,6.65557404326123e-05,0.088,0.0,0.25,0.054,0
4,0.9605627697295936,40,5,200,0.00031613976705490847,0.054,0.055,0.054,6.65557404326123e-05,0.088,0.0,0.25,0.054,0
5,0.9427379033034217,33,7,200,0.0003882418191902385,0.048,0.044,0.054,6.65557404326123e-05,0.088,0.9,0.25,0.054,0
6,0.9351013592373913,29,7,200,0.00041597337770382697,0.047,0.041,0.054,6.65557404326123e-05,0.088,0.0,0.25,0.054,0
7,0.9201876506248751,25,8,200,0.0003937881308929562,0.064,0.058,0.071,8.319467554076539e-05,0.113,0.8,0.267,0.071,0
8,0.9006280202112785,22,10,200,0.0006932889628397116,0.034,0.024,0.054,6.65557404326123e-05,0.088,0.9,0.25,0.054,0
9,0.8912509381337456,20,10,200,0.0006988352745424292,0.056,0.04,0.089,0.0001331114808652246,0.125,0.7,0.208,0.089,0
10,0.8640099626503107,17,12,200,0.0009262340543538547,0.036,0.024,0.071,0.0001552967276760954,0.095,0.8,0.143,0.071,0
11,0.8241257452788975,14,15,200,0.0015196894065446478,0.037,0.022,0.107,0.0002218524681087077,0.125,0.7,0.15,0.107,0
12,0.7897008216626797,12,17,200,0.0023128119800332777,0.047,0.027,0.196,0.0003771491957848031,0.161,0.7,0.147,0.179,0
13,0.7411344491069477,10,20,200,0.003178036605657238,0.041,0.023,0.232,0.00036051026067665005,0.182,0.7,0.169,0.196,0
14,0.7058247892088014,9,23,200,0.007432057681641708,0.032,0.016,0.393,0.0005934553521907931,0.172,0.7,0.131,0.25,0
15,0.668740304976422,8,25,200,0.010537992235163616,0.021,0.011,0.375,0.0006100942872989462,0.157,0.7,0.118,0.232,0
16,0.6181387937236277,7,29,200,0.02843594009983361,0.012,0.006,0.536,0.0006489184692179701,0.162,0.7,0.12,0.25,0
17,0.555588840330063,6,34,200,0.03598447032723239,0.011,0.005,0.625,0.0006600110926234054,0.16,0.7,0.118,0.25,0
18,0.4781762498950185,5,40,200,0.08018302828618969,0.006,0.003,0.75,0.0006877426511369939,0.156,0.7,0.113,0.25,0
19,0.3760603093086394,4,50,200,0.23509151414309484,0.002,0.001,0.929,0.0006877426511369939,0.156,0.7,0.113,0.25,0
20,0.2462115368990136,3,67,200,0.31597337770382694,0.002,0.001,1.0,0.0006877426511369939,0.156,0.7,0.113,0.25,0
21,0.1,2,100,200,0.7826289517470882,0.001,0.0,1.036,0.0006877426511369939,0.156,0.7,0.113,0.25,0
22,0.005,1,200,200,0.9933555185801443,0.001,0.0,1.036,0.0006877426511369939,0.156,0.7,0.113,0.25,0
0,1.0,200,1,200,0.00031613976705490847,0.057,0.055,0.06,4.437049362174154e-05,0.103,0.0,0.375,0.06,1
1,0.9930924954370359,100,2,200,0.00031613976705490847,0.057,0.055,0.06,4.437049362174154e-05,0.103,0.0,0.375,0.06,1
2,0.9837365039399479,67,3,200,0.00031613976705490847,0.057,0.055,0.06,4.437049362174154e-05,0.103,0.0,0.375,0.06,1
3,0.9726549474122855,50,4,200,0.00032723239046034385,0.056,0.053,0.06,4.437049362174154e-05,0.103,0.0,0.375,0.06,1
4,0.9605627697295936,40,5,200,0.00039933444259567386,0.05,0.043,0.06,4.437049362174154e-05,0.103,0.9,0.375,0.06,1
5,0.9427379033034217,33,7,200,0.00043815862451469773,0.047,0.039,0.06,4.437049362174154e-05,0.103,0.9,0.375,0.06,1
6,0.9351013592373913,29,7,200,0.00041042706600110925,0.066,0.056,0.08,5.5463117027176924e-05,0.133,0.6,0.4,0.08,1
7,0.9201876506248751,25,8,200,0.00048252911813643926,0.06,0.048,0.08,6.65557404326123e-05,0.129,0.0,0.333,0.08,1
8,0.9006280202112785,22,10,200,0.0006544647809206877,0.036,0.026,0.06,4.437049362174154e-05,0.103,0.9,0.375,0.06,1
9,0.8912509381337456,20,10,200,0.0006600110926234054,0.048,0.034,0.08,7.210205213533001e-05,0.127,0.8,0.308,0.08,1
10,0.8640099626503107,17,12,200,0.0010094287298946202,0.043,0.028,0.1,0.00013865779256794233,0.133,0.6,0.2,0.1,1
11,0.8241257452788975,14,15,200,0.0017082640044370494,0.045,0.026,0.16,0.00021630615640599,0.18,0.6,0.205,0.16,1
12,0.7897008216626797,12,17,200,0.0028951747088186357,0.039,0.021,0.22,0.00011647254575707155,0.169,0.8,0.286,0.12,1
13,0.7411344491069477,10,20,200,0.004093178036605657,0.025,0.014,0.2,0.00011092623405435385,0.171,0.8,0.3,0.12,1
14,0.7058247892088014,9,23,200,0.027615085967831392,0.009,0.005,0.46,0.00011647254575707155,0.169,0.8,0.286,0.12,1
15,0.668740304976422,8,25,200,0.010981697171381031,0.017,0.009,0.34,0.00011647254575707155,0.169,0.8,0.286,0.12,1
16,0.6181387937236277,7,29,200,0.028951747088186357,0.01,0.005,0.54,0.00011647254575707155,0.169,0.8,0.286,0.12,1
17,0.555588840330063,6,34,200,0.04533555185801442,0.007,0.004,0.58,0.00011647254575707155,0.169,0.8,0.286,0.12,1
